Location name,Amount spent (TRY)
Adana Province,1778
Adıyaman Province,234
Afyonkarahisar Province,721
Aksaray Province,250
Amasya Province,291
Ankara Province,3149
Antalya Province,1698
Ardahan Province,≤100
Artvin Province,134
Aydın Province,801
Ağrı Province,136
Balıkesir Province,869
Bartın Province,115
Batman Province,241
Bayburt Province,≤100
Bilecik Province,4335
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,207
Burdur Province,160
Bursa Province,27608
Denizli Province,1119
Diyarbakır Province,501
Düzce Province,335
Edirne Province,315
Elazığ Province,244
Erzincan Province,113
Erzurum Province,442
Eskişehir Province,740
Gaziantep Province,1071
Giresun Province,326
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1600
Isparta Province,327
Istanbul Province,11291
Iğdır Province,≤100
Kahramanmaraş Province,666
Karabük Province,155
Karaman Province,200
Kars Province,≤100
Kastamonu Province,230
Kayseri Province,909
Kilis Province,≤100
Kocaeli Province,907
Konya Province,1362
Kütahya Province,329
Kırklareli Province,276
Kırıkkale Province,177
Kırşehir Province,271
Malatya Province,346
Manisa Province,1077
Mardin Province,338
Mersin Province,1965
Muğla Province,768
Muş Province,107
Nevşehir Province,172
Niğde Province,216
Ordu Province,523
Osmaniye Province,303
Rize Province,219
Sakarya Province,833
Samsun Province,1595
Siirt Province,≤100
Sinop Province,133
Sivas Province,280
Tekirdağ Province,542
Tokat Province,476
Trabzon Province,568
Tunceli Province,≤100
Unknown,≤100
Uşak Province,268
Van Province,288
Yalova Province,171
Yozgat Province,503
Zonguldak Province,351
Çanakkale Province,371
Çankırı Province,≤100
Çorum Province,502
İzmir Province,3723
Şanlıurfa Province,808
Şırnak Province,174
