Location name,Amount spent (HUF)
Baranya County,107761
Borsod-Abaúj-Zemplén County,172582
Budapest,632201
Bács-Kiskun County,141036
Békés County,91276
Csongrád County,132037
Fejér County,134641
Győr-Moson-Sopron County,134282
Hajdú-Bihar County,189285
Heves County,89597
Jász-Nagykun-Szolnok County,100431
Komárom-Esztergom County,87205
Nógrád County,46090
Pest County,300159
Somogy County,82769
Szabolcs-Szatmár-Bereg County,152122
Tolna County,67529
Unknown,≤100
Vas County,70103
Veszprém County,88409
Zala County,78284
