Location name,Amount spent (EUR)
Alsace,1094
Aquitaine,1829
Auvergne,570
Basse-Normandie,666
Bourgogne,775
Bretagne,1554
Centre,1230
Champagne-Ardenne,630
Corse,227
Franche-Comté,501
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,923
Languedoc-Roussillon,1695
Limousin,344
Lorraine,1170
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1524
New Caledonia,≤100
Nord-Pas-de-Calais,1934
Pays de la Loire,1749
Picardie,869
Poitou-Charentes,848
Provence-Alpes-Côte d'Azur,3405
Reunion Island,154
Rhône-Alpes,3347
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7097
