Location name,Amount spent (GTQ)
Alta Verapaz Department,254
Baja Verapaz Department,107
Chimaltenango Department,240
Chiquimula Department,187
El Progreso Department,≤100
Escuintla Department,343
Guatemala Department,7723
Huehuetenango Department,431
Izabal Department,296
Jalapa Department,127
Jutiapa Department,236
Petén Department,197
Quetzaltenango Department,546
Quiché Department,292
Retalhuleu Department,164
Sacatepéquez Department,394
San Marcos Department,1030
Santa Rosa Department,143
Sololá Department,189
Suchitepéquez Department,211
Totonicapán Department,153
Unknown,≤100
Zacapa Department,261
