Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
14095969045,Fremskrittspartiet,Fremskrittspartiet,10357,16
111345183340,Fagforbundet,Fagforbundet,6465,6
135843375926,UNICEF Norge,UNICEF Norge,4205,23
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,3770,66
203067569732001,Fellesforbundet,Fellesforbundet,3322,48
171540532874418,Arbeiderpartiet i Bergen,Arbeiderpartiet i Bergen,2440,18
20468812735,LO,LO,2237,13
10953652930,Høyre,Høyre,2045,45
275389322558295,LOs sommerpatrulje,LO,1734,7
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,1729,1
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,1476,21
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,1303,41
102264419459588,Akershus Høyre,Akershus Høyre,1238,4
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,1026,1
151608890040,Innlandet FrP,Innlandet FrP,861,3
198748346812235,Drammen Venstre,Drammen Venstre,861,17
298357179829,Trondheim Arbeiderparti,Trondheim Arbeiderparti,852,9
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,795,5
110628757129572,LO Vestfold og Telemark,LO,737,8
322525743444,Get Inspired,These ads ran without a disclaimer,621,2
226417544192807,Tankesmien Agenda,Tankesmien Agenda,571,4
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,564,1
101815422763212,Emil Raaen - Ordførerkandidat Ap,Trondheim Arbeiderparti,530,2
1281475135310961,Sissel Knutsen Hegdal - ordførerkandidat Høyre,Sissel Knutsen Hegdal - ordførerkandidat Høyre,493,1
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,483,6
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,456,10
186077731431314,Arendal Venstre,Arendal Venstre,396,3
132368899297,Framtiden i våre hender,Framtiden i våre hender,387,1
189828081044593,MS-forbundet i Norge,Ms-forbundet,384,11
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,374,2
173437119340296,Akershus Arbeiderparti,Akershus Arbeiderparti,318,4
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,309,7
131631106897687,Øygarden FrP,Øygarden FrP,307,13
60540214886,Lederne,These ads ran without a disclaimer,307,2
711789545902081,Marit Vea,Oslo Venstre,294,9
100231879042950,Fylkesordførerkandidat Niklas Memic-Eriksen - FrP,Fylkesordførerkandidat Niklas Memic-Eriksen - FrP,291,1
153402168051875,Bergen Senterparti,Bergen Senterparti,288,6
291638394185556,Drammen Høyre,Drammen Høyre,287,9
176175415825122,apotek.no,Apotekforeningen,277,20
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,259,10
125185750841432,LO Møre og Romsdal,LO,257,3
148389115200561,Kristiansand Venstre,Kristiansand Venstre,250,3
106716332332281,Njål Vigleik Grene-Johnsen,Njål Vigleik Grene-Johnsen,247,2
2869351156469363,Tonje Lavik - FrP,Asker FrP,241,1
187160647980979,Troms og Finnmark Høyre,Troms og Finnmark Høyre,238,5
104701569617247,Arbeid & Inkludering,Arbeid & Inkludering,234,2
136206693091663,Norges Fiskarlag,Norges Fiskarlag,230,15
157803497575876,NHO Reiseliv,NHO Reiseliv,225,8
146731798709607,Bymiljølista i Fredrikstad,Bymiljølista i Fredrikstad,222,1
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,207,5
351810391628079,Hallstein Bjercke,Oslo Venstre,204,4
781470095268908,Skien Venstre,Skien Venstre,200,1
219212891435404,Ullensaker FrP,Ullensaker FrP,200,2
120374971332864,Kagge Forlag,Kagge Forlag,196,1
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,194,1
144754334087,Trøndelag Arbeiderparti,Trøndelag Arbeiderparti,194,11
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,193,1
117726821605303,PBL,PBL,186,23
166359316748710,Ørsta Høgre,Ørsta Høgre,183,1
698086313709969,Rødt Akershus,Rødt,175,2
770076199804598,Ordførerkandidat Therese Thorbjørnsen,Sarpsborg Arbeiderparti,171,1
458126690922579,Rødt Trøndelag,Rødt Trøndelag,169,6
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,169,22
