Location name,Amount spent (INR)
Andaman and Nicobar Islands,240
Andhra Pradesh,47841
Arunachal Pradesh,4555
Assam,34892
Bihar,100573
Chandigarh,1939
Chhattisgarh,17423
Dadra and Nagar Haveli,16297
Delhi,1670968
Goa,2651
Gujarat,5372338
Haryana,69761
Himachal Pradesh,17799
Jammu and Kashmir,11249
Jharkhand,20086
Karnataka,103942
Kerala,23805
Lakshadweep,≤100
Madhya Pradesh,89279
Maharashtra,198564
Manipur,3392
Meghalaya,21154
Mizoram,1386
Nagaland,1503
Odisha,20623
Puducherry,1766
Punjab region,33478
Rajasthan,106878
Sikkim,1709
Tamil Nadu,34549
Telangana,39686
Tripura,8846
Unknown,≤100
Uttar Pradesh,190619
Uttarakhand,16430
West Bengal,64391
