Location name,Amount spent (RON)
Alba County,745
Arad County,852
Argeș County,1519
Bacău County,1074
Bihor County,1246
Bistrița-Năsăud County,602
Botoșani County,664
Brașov County,1350
Brăila County,608
Bucharest,9397
Buzău County,834
Caraș-Severin County,482
Cluj County,1661
Constanța County,1610
Covasna County,327
Călărași County,441
Dolj County,1146
Dâmbovița County,782
Galați County,1117
Giurgiu County,387
Gorj County,679
Harghita County,509
Hunedoara County,762
Ialomița County,387
Iași County,1394
Ilfov County,1499
Maramureș County,967
Mehedinți County,434
Mureș County,938
Neamț County,1133
Olt County,589
Prahova County,1488
Satu Mare County,574
Sibiu County,749
Suceava County,1123
Sălaj County,365
Teleorman County,439
Timiș County,1765
Tulcea County,390
Unknown,≤100
Vaslui County,577
Vrancea County,1166
Vâlcea County,713
