Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,19637,4
643513979193133,Unidos por Beatriz,Neuma,15513,6
102084562479533,Digital506,Digital506,8212,7
103284565735111,El Venezolano CR,These ads ran without a disclaimer,6119,2
856012741442139,Ipas LAC,Neuma,6042,3
102643532445938,Ada Acuña - Diputada,Jacqui Solano,5045,3
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,3920,1
265843867173714,La Revista,La Revista,3060,5
200480966638039,Supremacy 1914,These ads ran without a disclaimer,2969,3
100508562815254,Juan Diego González Picado,Juan Diego González Picado,2800,1
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,1837,1
357764431229,Center for Justice and International Law-CEJIL,These ads ran without a disclaimer,1120,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1081,1
2006883116083469,Cristopher Montero Jiménez,Cristopher Montero Jimenez,722,1
109536051432220,Olga Morera - Diputada,Olga Morera Arrieta,560,1
823788047675556,Call of War,These ads ran without a disclaimer,517,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,2
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100,1
100891269592544,globaltrading_pro,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
2092924957605425,Solis,These ads ran without a disclaimer,≤100,1
