Location name,Amount spent (DKK)
Capital Region of Denmark,48087
Central Denmark Region,28408
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13064
Region of Southern Denmark,26873
Unknown,≤100
Zealand Region,15018
