Location name,Amount spent (INR)
Andaman and Nicobar Islands,780
Andhra Pradesh,115751
Arunachal Pradesh,2281
Assam,15494
Bihar,41000
Chandigarh,3205
Chhattisgarh,34344
Dadra and Nagar Haveli,918
Delhi,40900
Goa,3607
Gujarat,59724
Haryana,35916
Himachal Pradesh,13342
Jammu and Kashmir,10232
Jharkhand,16414
Karnataka,416570
Kerala,16999
Lakshadweep,≤100
Madhya Pradesh,77259
Maharashtra,160183
Manipur,3486
Meghalaya,3180
Mizoram,524
Nagaland,2011
Odisha,16144
Puducherry,2347
Punjab region,43164
Rajasthan,151226
Sikkim,1251
Tamil Nadu,55027
Telangana,45265
Tripura,2251
Unknown,118
Uttar Pradesh,145085
Uttarakhand,13463
West Bengal,43525
