Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1311
Bicol Region,6676
Cagayan Valley,1780
Calabarzon,15431
Caraga,1249
Central Luzon,7969
Central Visayas,6340
Cordillera Administrative Region,1161
Davao Region,4171
Eastern Visayas,2544
Ilocos Region,3317
Metro Manila,21454
Mimaropa,2028
Northern Mindanao,3721
Soccsksargen,3048
Unknown,≤100
Western Visayas,6779
Zamboanga Peninsula,2755
