Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,10921,21
1759941490758280,Jerry Treñas,Ma. Ruthmar Ignacio Gabileo,6188,54
150218985056317,Senator Koko Pimentel,Friends of Senator Koko Pimentel,5000,1
555503991321280,Geraldine Roman,Sulong Pilipinas,3790,1
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,2475,1
547821942058909,Pilipinas Today Radyo,WFPH,2161,26
386570178125149,Senator Win Gatchalian,Senator Win Gatchalian,2132,7
494887807297979,Cocolife,Cocolife,2068,1
952018388329788,Kathryna Yu-Pimentel,Kathryna Yu-Pimentel,1880,1
100170811672425,Kyusi,WFPH,1845,21
113238417024056,Anna Mae Yu Lamentillo,Anna Mae Yu Lamentillo,1741,6
126919387470670,Rufus B. Rodriguez,Rufus Bautista Rodriguez,1371,5
1922749344643532,The World Tonight,The World Tonight,1235,13
106621860996841,IOptions Ventures Corp.,iOptions Ventures Corp.,1220,2
106352075165169,e-Boto,e-Boto,1193,7
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,1180,2
2103172176611007,Aksyon Demokratiko,Aksyon Demokratiko,1079,2
121096004646927,"Pablo John ""PJ"" Garcia",Friends of PJ Garcia,1057,3
269175894020945,Radyo Pilipinas Today,WFPH,1022,10
100613639077658,Councilor Jomil Serna,Friends and Supporters of Jomil Serna,1016,3
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,982,1
186667502068528,Larry De Costa,WFPH,904,11
705660422953865,About Metro Pacific,WFPH,887,10
156752721080952,Sonny Angara,Sonny Angara,749,5
404729389612751,"Teodorico ""Nonong"" T Haresco, Jr",BIHA-MPC : People of Aklan,741,8
257830240980106,Ronnie Dadivas,Roxas City United,707,3
102029749186072,Konsehal Abu Gino-gino,Emil Justin Angelo Guarte Gino-gino,705,3
495629064258114,Lolita Karen Javier,Amor U. Nacional,651,1
1871757276390999,Cong. Mannix Dalipe - Page,Manuel Jose M. Dalipe,613,4
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,596,2
154386154617,WWF-Philippines,WWF-Philippines,576,3
1566478310240623,Francis Tolentino,Francis Tolentino PH,521,3
2101088876594734,MBS- Senior Deputy Speaker DOY Leachon,Ronalee Escondo Leachon,518,1
103485942191411,Juan Bulletin,Polsure,479,2
102070751171612,Tuloy Ang Aksyon Konsehala RL Leachon,Ronalee Escondo Leachon,478,3
332536503771530,Vice Governor Karen Agapay,Edgar Habana Ruado,456,3
100305568984268,EdukNaman,Philippine Business for Education,448,2
279292210553771,Protect the Verde Island Passage,"Center for Energy, Ecology, and Development",428,2
112952897079549,Energy Development Corporation,Energy Development Corporation,425,4
223618785182273,Pilipinas,WFPH,416,4
1030706640379655,Pilipinas: Coal Free by 2030,Coal Free Philippines,415,2
229162103880856,Wanna Fact PH,WFPH,413,4
111518131388232,CharityPhilippines.org,CharityPhilippines.Org,399,1
101935445680941,Inside Politico,Polsure,393,2
110070698433354,11th Sangguniang Bayan ng Bulakan,Angela Cruz Sagales,392,2
111324628476603,REact PH: Choose Renewables,REact PH: Choose Renewables,340,2
320130741416822,Special Olympics Pilipinas,Special Olympics Pilipinas,334,9
106673795384293,QC Kalinga sa PWD,Polsure,302,1
1332938170076882,Tatak QC,Polsure,299,1
352659278684227,MP Marjanie S. Mimbantas Macasalong,MP Marjanie S. Mimbantas Macasalong,295,3
2147575852160385,Congresswoman Ann Matibag,Congresswoman Ann Matibag,270,2
1058962734159503,"Gov. Rogelio ""Ruel"" D. Pacquiao - Sarangani Province",Chris Yurong Perpetua,261,2
