Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,2303426,73
525334380868858,Martín Lousteau,Juntos por el Cambio - Capital Federal,2281144,78
364916637463104,Unión por la Patria,Unión por la Patria,2240077,26
102086362955693,Hacemos,Hacemos,1868600,57
111663178651819,Hagamos el Cambio de Nuestras Vidas,Hagamos el Cambio de Nuestras Vidas,1630590,186
110767322072387,Levantemos Argentina,Levantemos Argentina,1295437,42
171330806277312,Diego Santilli,Juntos por el Cambio,1033606,122
958750317533178,Manuela Castañeira,Nuevo MAS,980558,28
108401558977853,Hacemos por Nuestro País,Hacemos por Nuestro País,921400,5
120527421023470,Despierta Chubut,Despierta Chubut,804567,8
106449905849575,Seguimos Haciendo,Seguimos Haciendo,705297,82
57718951374,Jorge Macri,JUNTOS POR EL CAMBIO DISTRITO CAPITAL FEDERAL A. P. - ALIANZA,645337,25
100615406447198,Una Argentina Distinta,Una Argentina distinta,640951,22
174970176018,Horacio Rodríguez Larreta,Juntos por el Cambio,622184,508
206515872752040,Info-DINE,Secretaría de Medios y Comunicación Pública,587715,54
688001708286948,Juan Pablo Luque,Juan Pablo Luque,515902,20
574327593014136,Encuestas Funs,Encuestas Funs,497217,8
114046241738745,Derecho al Pasado,Derecho al pasado,426894,13
381739742002021,Leandro Santoro,Unión por la Ciudad,425654,21
1945555449050773,Frente Ciudadano,Frente Ciudadano,415843,6
116053261893854,Axel Kicillof,Unión por la Patria PBA,364440,14
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,356542,41
342204343563,Lucas Ghi,Nuevo Encuentro por la Democracia y la Equidad,345701,9
896073793900056,Lalo Creus,Lalo Creus,340473,5
1309393872434567,CFK Conducción,CFK Conducción,312775,5
113440031817559,Unión por las Redes,Comunicación en Redes,296003,17
610065179346397,NotiBaires,NotiBaires,279806,11
248730858601074,Juan Andreotti,Frente Renovador San Fernando,279084,13
675523912809682,Tiempo de Provincia,Tiempo de Provincia,251983,11
108679841853325,Contame Más,Contame Más,227520,66
1651324754987038,InfoAires,InfoAires,227142,13
103088924366000,Noticias d,Noticias d,221840,181
2251397431784810,InfoArgentina,InfoArgentina,212976,13
436246103621788,Damián Selci,Unidad Ciudadana Hurlingham - UCH,198639,38
1436040176529904,Noticias de Acá,Noticias de Acá,195356,8
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,192060,61
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,180950,10
174545086044880,Gobierno de Santa Fe,Brote AD S.A.,177801,88
20906273675,Greenpeace Argentina,Greenpeace Argentina,173542,2
353492111467605,Julio Garro,Julio Garro,172858,8
103448546000915,LaMassaneta,LaMassaneta,170016,176
305983009493637,Leonardo Grosso,Leonardo Grosso,165176,9
378374369659145,Zona Norte Noticias,Zona Norte Noticias,164392,10
106548558037239,Corte media.,Corte Media,161021,222
109104915512477,Argentina tiene con qué,Argentina tiene con qué,153588,4
332247660166253,Juan de Jesús,Juan de Jesús,151995,15
104238766073445,Vecinos de San Martín,These ads ran without a disclaimer,151345,3
110116998602195,Boletin No-Oficial,Boletín No Oficial,148051,49
110276628358382,El Autónomo,El Autónomo,146843,46
111669735076988,Hora Cero,Hora Cero Noticias,145124,41
335926266503071,7D,7D,144930,6
169481676449081,Adán Bahl,PJ Entre Ríos,139941,9
1470809306572155,Armando Luis Gay,Más para Concordia,134950,39
161768683835555,Municipio de La Matanza,Municipio de La Matanza,133650,3
699758330894365,Actualidad Argentina,Actualidad Argentina,132842,39
306607899838909,Sigamos yendo juntos San Isidro,Sigamos yendo juntos San Isidro,127833,2
399129950150544,PRO Rosario,PRO Rosario,122224,4
131381938371647,Corta La Bocha Noticias,Corta La Bocha,120944,36
401817883222600,Walter Queijeiro - Quilmes,Walter Queijeiro - Quilmes,120007,10
819706181516315,Catalina Riganti,ConVocación por San Isidro,113378,3
107631983989726,Argentina Federal,Argentina Federal,110069,32
605540860101596,Diario Criollo,Diario Criollo,106590,36
101662834528956,Juan Grabois,Juan Grabois,103836,27
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,101262,34
111600998225620,Noticias Zero,Noticias Zero,98232,31
110806461830762,El Sol Web,El Sol Web,97877,25
546669442064267,Martiniano Molina,Martiniano Molina,97255,19
103762068710977,La Política en Chubut,La Política en Chubut,93313,3
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,92145,51
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,91945,12
103846469204203,La Ola Noticias,La Ola Noticias,91783,28
416391221875769,Ruben Manzi,Rubén Manzi,90162,9
100148663159546,Ciudadanos Unidos 2023,Ciudadanos Unidos 2023,89713,3
101665532218788,Juntos por el Cambio San Isidro,Juntos por el Cambio San Isidro,85981,2
