Location name,Amount spent (HUF)
Baranya County,232034
Borsod-Abaúj-Zemplén County,272381
Budapest,1264848
Bács-Kiskun County,229090
Békés County,155727
Csongrád County,206849
Fejér County,193714
Győr-Moson-Sopron County,209241
Hajdú-Bihar County,255538
Heves County,134433
Jász-Nagykun-Szolnok County,186439
Komárom-Esztergom County,139289
Nógrád County,79976
Pest County,530444
Somogy County,123946
Szabolcs-Szatmár-Bereg County,224274
Tolna County,98771
Unknown,≤100
Vas County,112407
Veszprém County,142792
Zala County,122535
