Location name,Amount spent (CZK)
Central Bohemian Region,9869
Hradec Králové Region,4230
Karlovy Vary Region,2477
Liberec Region,3459
Moravian-Silesian Region,10533
Olomouc Region,5455
Pardubice Region,3834
Plzeň Region,6050
Prague,19244
South Bohemian Region,4783
South Moravian Region,10730
Unknown,≤100
Vysočina Region,3547
Zlín Region,5087
Ústí nad Labem Region,7415
