Location name,Amount spent (TWD)
Changhua,10440
Chiayi,2350
Hsinchu,4145
Hsinchu City,6551
Hualien,3685
Kaohsiung,30059
Keelung City,5508
Kinmen,479
Lienchiang,≤100
Miaoli,4497
Nantou,5559
New Taipei City,46204
Penghu,718
Pingtung,6755
Taichung,32788
Tainan,18159
Taipei,36044
Taitung,2180
Taoyuan City,28786
Unknown,5802
Yilan,3222
Yunlin,4996
