Location name,Amount spent (NZD)
Auckland Region,2439
Bay of Plenty Region,423
Canterbury,1029
Gisborne District,≤100
Hawke's Bay,246
Manawatu-Wanganui,327
Marlborough Region,≤100
Nelson Province,113
Northland Region,239
Otago,399
Southland,138
Taranaki,160
Tasman District,≤100
Unknown,≤100
Waikato,1876
Wellington Region,772
West Coast,≤100
