Location name,Amount spent (CZK)
Central Bohemian Region,13314
Hradec Králové Region,5714
Karlovy Vary Region,3223
Liberec Region,4388
Moravian-Silesian Region,12515
Olomouc Region,6024
Pardubice Region,5070
Plzeň Region,6713
Prague,26431
South Bohemian Region,6524
South Moravian Region,15319
Unknown,≤100
Vysočina Region,4330
Zlín Region,5687
Ústí nad Labem Region,8524
