Location name,Amount spent (CLP)
Antofagasta Region,89309
Araucanía Region,129510
Arica y Parinacota Region,34119
Atacama Region,24813
Aysén Region,14323
Bío Bío Region,263821
Coquimbo Region,135695
Los Lagos Region,107956
Los Ríos Region,46692
Magallanes y la Antártica Chilena Region,19389
Maule Region,98477
O'Higgins Region,162460
Santiago Metropolitan Region,952478
Tarapacá Region,39018
Unknown,241
Valparaíso Region,196267
