Location name,Amount spent (CLP)
Antofagasta Region,119199
Araucanía Region,131548
Arica y Parinacota Region,69465
Atacama Region,30853
Aysén Region,70991
Bío Bío Region,271385
Coquimbo Region,140410
Los Lagos Region,125377
Los Ríos Region,41036
Magallanes y la Antártica Chilena Region,32521
Maule Region,98396
O'Higgins Region,92247
Santiago Metropolitan Region,1074448
Tarapacá Region,47431
Unknown,≤100
Valparaíso Region,205786
