Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
252185758819200,Babajide Sanwo-Olu,Babajide Sanwo-Olu,102313,1
105256562063637,Beta Naija Group,Beta Naija,89686,2
753031955030992,Atiku-Okowa.com,One Nigeria Movement,27631,3
654180731859809,T-Police,T-Police,25173,6
1746241522274014,Hajiya Maryam Mairo Aminu Waziri Tambuwal Online Forum,Amiru Adamu,12549,32
1598205703573433,Senator Uba Sani,Uba Sani Media,11254,8
105778879039427,Value Driven Leadership,Value Driven Leadership,11085,11
1689132724682504,MMAWT legacy initiative,Amiru Adamu,8897,20
660685641036325,Sandeco Group,Vincent Southey Effiong,8358,9
101597856085318,Theokmovement,Olakunle Kosile,7514,1
100184822405750,Saliu Mustapha,Saliu Mustapha,7359,2
109466785028287,Prince Dr Emeka Eze,Michael Obiekwe,6228,4
123838944328164,Rethink Nigeria,Rethink Nigeria,4959,1
565225540184937,CGTN,These ads ran without a disclaimer,4448,1
1600094170320323,Enormous FACTS,Enormous FACTS Magazine by MediaMall,4239,4
105208365731340,F-SAO4Tinubu/Shettima2023,Emmanuel Oko,4045,4
1089641091059109,Hon. Kelechi Nwogu,Fabia Benibo,3872,1
106955635517175,Petroleum Industry Act and You,The Nigerian Upstream Petroleum Regulator Commission,3439,3
103018869332378,BantuPage,Ikechukwu Orji,3298,5
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,3265,1
102452759210207,Foreign Investment Network,Foreign Investment Network,3041,1
110477678537056,IPIS,These ads ran without a disclaimer,2344,1
1566640256767644,AM Corporate Solutions Limited,Shuaibu Aliyu,2074,2
100202924924063,Page 36,Page 36,1997,10
194110890622942,Leadership News,Leadership News,1897,1
120346118099706,BrandPower,BrandPower,1779,1
104345512340583,Katsina State Television KTTV,Katsina State Television KTTV,1728,1
579731102381281,Hon Ogechukwu Ibemesi,Hon Ogechukwu Ibemesi,1652,3
248584495820796,Ibe Okwara for House of Representatives - Arochukwu/Ohafia Constituency,Ibe Okwara Support Group,1485,3
595906454226757,Dr Amaechi Nwachukwu Media,Dr Amaechi Nwachukwu Media,1454,2
102225129139532,Dr. Okuji Oreh,Dr. Okuji Oreh,1389,1
101620952700531,Babandi Ibrahim,Babandi Gumel Ibrahim,1335,1
117743160054780,RiversofHope,RiversofHope,1311,1
1598185900266723,Emeka Igwe Campaign Organization,Emeka Igwe,1288,1
316575672459262,Hon.Dr Ekene Augustine Aghasiefo,Hon.Dr Ekene Augustine Aghasiefo,1171,2
110151371700778,Bishop Dr. Sunday Ndukwo Onuoha,Bishop Dr. Sunday Ndukwo Onuoha,1053,2
100709739505179,Ahmed Umar Farouk Esq,Ahmed Umar Farouk,1020,2
2214806718737011,Umaru Mohammed Bago,Suleiman Danjuma Isah,1004,1
1248567965158274,Gafa TV,Gafa TV,950,2
112268064929703,Mailantarki Campaign Organisation 2023,Mailantarki Campaign Organisation 2023,790,2
108067478661339,The Ephraim Inyang Project,Akwaowo Adiakpan,778,2
215863191948778,Frank Nweke Jr,Frank Nweke Ii,695,1
241652942562933,Yomi Idowu,Adfol Global Enterprise,644,1
108409741002988,Prince Hadi Sani; SA to Ogun State Governor on Inter-Ethnic Affairs.,Adu Ifeoluwa,608,1
105827948663647,Within Nigeria,WITHIN NIGERIA MEDIA LTD,525,1
102072846021681,ABC Constituency Grassroot Volunteers for Andrew Thomas,ABC Constituency Grassroot Volunteers for Andrew Thomas,519,1
108176651927863,Sir Siminalayi Fubara,Sir Siminalayi Fubara,512,1
100648286200482,Barr. Okey Ezea Media Office,Michael Nnamdi Okenwa,445,1
104379725771100,Bayodele 2023 Obi/Datti Oluyole Forum,Ameedat Delilah Bidmus,445,2
119921809408007,Don King Media,Don King Media,422,1
108976588043083,AA ZAURA TV,Ayodeji Adeola Badru,398,4
111540531539769,TC Health,These ads ran without a disclaimer,396,1
113628970777085,Hon Shaaban Tv,Ayodeji Adeola Badru,395,3
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,388,2
101696942515078,Hon. Ahmed Nda,Hon. Ahmed Nda,344,1
1509451939279618,Hon. Iduma Igariwey Enwo,Iduma Enwo Igariwey,340,1
2232989190256487,Lagos Commodities and Futures Exchange,These ads ran without a disclaimer,334,1
100171168527567,ZANNA TV,Ayodeji Adeola Badru,231,2
108385975416214,Hon Bala Usman Chamo Tv,Ayodeji Adeola Badru,208,2
109225188534168,Northwest-Northeast Concern Youth Movement for Tinubu/Kashim 2023.,Mubarak Hamza Adam,158,1
147737942099452,Keyhole Media,Keyhole Media,137,1
108196610945393,H.E Dr Nasir Yusuf Gawuna,Ayodeji Adeola Badru,≤100,1
111776623530172,Office Of The Chief Press NGS - Mary Noel Berje,Office Of The Chief Press NGS - Mary Noel Berje,≤100,1
119723736100630,Ala - Delight Publicity Services,Moses Oyinkuro,≤100,2
196968597855114,Franklin Gbaiwogha,These ads ran without a disclaimer,≤100,1
241499009731835,Ifeanyichukwu Ibezi,Ifeanyichukwu Ibezi,≤100,1
109328591880411,Peter Obi campaign Akwaibom state,Peter Obi campaign Akwaibom state,≤100,2
108210738439271,Hon Aminu Sani Jaji Media,Ayodeji Adeola Badru,≤100,1
109752333774968,Bishop Dr Emeka Nwankpa support Group,Chinaza Somtochukwu Ibeofokile,≤100,1
100432322646591,Magnom Properties,These ads ran without a disclaimer,≤100,1
477385565779582,How to use abortion pill,These ads ran without a disclaimer,≤100,1
193159954041877,New Narratives,These ads ran without a disclaimer,≤100,2
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
179370212712433,Suivera,These ads ran without a disclaimer,≤100,1
571956836171870,Carlo Tedesco Showroom,These ads ran without a disclaimer,≤100,1
387098485174503,Coal City TV,Emmanuel Chizoba Ugwuagbo,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
100771065462417,UNIFYD,These ads ran without a disclaimer,≤100,4
101616276020711,Obidogo BENDE,Abia Vanguard,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
