Location name,Amount spent (MXN)
Aguascalientes,9308
Baja California,43430
Baja California Sur,8540
Campeche,34048
Chiapas,23765
Chihuahua,34825
Coahuila de Zaragoza,28542
Colima,11188
Distrito Federal,164517
Durango,7526
Guanajuato,37580
Guerrero,14683
Hidalgo,9438
Jalisco,95093
Michoacán de Ocampo,50785
Morelos,26486
Nayarit,8900
Nuevo León,177921
Oaxaca,26344
Puebla,59692
Querétaro Arteaga,20244
Quintana Roo,77061
San Luis Potosi,21151
Sinaloa,19591
Sonora,27916
State of Mexico,70977
Tabasco,8154
Tamaulipas,30106
Tlaxcala,6153
Unknown,≤100
Veracruz,44858
Yucatán,19257
Zacatecas,7567
