Location name,Amount spent (RON)
Alba County,576
Arad County,770
Argeș County,891
Bacău County,1031
Bihor County,1207
Bistrița-Năsăud County,465
Botoșani County,626
Brașov County,1238
Brăila County,463
Bucharest,5223
Buzău County,628
Caraș-Severin County,404
Cluj County,1773
Constanța County,1598
Covasna County,363
Călărași County,326
Dolj County,926
Dâmbovița County,712
Galați County,836
Giurgiu County,323
Gorj County,602
Harghita County,577
Hunedoara County,796
Ialomița County,413
Iași County,1690
Ilfov County,810
Maramureș County,766
Mehedinți County,322
Mureș County,1240
Neamț County,844
Olt County,488
Prahova County,1654
Satu Mare County,548
Sibiu County,922
Suceava County,1107
Sălaj County,438
Teleorman County,381
Timiș County,1464
Tulcea County,310
Unknown,≤100
Vaslui County,493
Vrancea County,719
Vâlcea County,638
