Location name,Amount spent (SEK)
Blekinge County,4092
Dalarna County,8058
Gotland County,1797
Gävleborg County,8361
Halland County,8274
Jämtland County,3928
Jönköping County,9575
Kalmar County,6059
Kronoberg County,4836
Norrbotten County,7273
Skåne County,41276
Stockholm County,78278
Södermanland County,8182
Unknown,≤100
Uppsala County,12341
Värmland County,7267
Västerbotten County,8292
Västernorrland County,6610
Västmanland County,8648
Västra Götaland County,58722
Örebro County,9428
Östergötland County,13539
