Location name,Amount spent (JPY)
Aichi Prefecture,19700
Akita Prefecture,2459
Aomori Prefecture,2238
Chiba Prefecture,25282
Ehime Prefecture,3168
Fukui Prefecture,2758
Fukuoka Prefecture,53173
Fukushima Prefecture,4022
Gifu Prefecture,5102
Gunma Prefecture,4612
Hiroshima Prefecture,10554
Hokkaido,14792
Hyōgo Prefecture,16818
Ibaraki Prefecture,6274
Ishikawa Prefecture,3324
Iwate Prefecture,2475
Kagawa Prefecture,3809
Kagoshima Prefecture,3729
Kanagawa Prefecture,39226
Kumamoto Prefecture,9195
Kyoto Prefecture,9604
Kōchi Prefecture,1409
Mie Prefecture,3982
Miyagi Prefecture,13006
Miyazaki Prefecture,3165
Nagano Prefecture,6093
Nagasaki Prefecture,10090
Nara Prefecture,3926
Niigata Prefecture,13101
Okayama Prefecture,5984
Okinawa Prefecture,7437
Osaka Prefecture,27242
Saga Prefecture,6076
Saitama Prefecture,18893
Shiga Prefecture,4130
Shimane Prefecture,1885
Shizuoka Prefecture,8126
Tochigi Prefecture,3741
Tokushima Prefecture,2105
Tokyo,89449
Tottori Prefecture,1845
Toyama Prefecture,2440
Unknown,≤100
Wakayama Prefecture,2591
Yamagata Prefecture,2739
Yamaguchi Prefecture,4361
Yamanashi Prefecture,2265
Ōita Prefecture,7516
