Location name,Amount spent (NOK)
Akershus,5682
Aust-Agder,763
Buskerud,1858
Finnmark,551
Hedmark,1393
Hordaland,4523
Møre og Romsdal,4816
Nord-Trøndelag,1365
Nordland,1512
Oppland,1125
Oslo,9248
Rogaland,3369
Sogn og Fjordane,715
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,3646
Telemark,1485
Troms,1125
Unknown,≤100
Vest-Agder,1868
Vestfold,2348
Østfold,1968
