Location name,Amount spent (EGP)
Al Sharqia Governorate,4266
Alexandria Governorate,1496
Aswan Governorate,188
Asyut Governorate,542
Beheira Governorate,689
Beni Suef Governorate,311
Cairo Governorate,2952
Dakahlia Governorate,1374
Damietta Governorate,410
Faiyum Governorate,309
Gharbia Governorate,1100
Giza Governorate,955
Ismailia Governorate,517
Kafr el-Sheikh Governorate,575
Luxor Governorate,125
Matrouh Governorate,≤100
Minya Governorate,560
Monufia Governorate,741
New Valley Governorate,≤100
North Sinai Governorate,107
Port Said Governorate,248
Qalyubia Governorate,1490
Qena Governorate,345
Red Sea Governorate,129
Sohag Governorate,536
South Sinai Governorate,≤100
Suez Governorate,141
