Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
939050246112788,Facebook Public Affairs,Meta,18739,49
104386908631938,Pathways Alliance,Pathways Alliance,3364,6
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,2927,17
95938536190,Shoppers Drug Mart,Shoppers Drug Mart,2814,8
177004795666755,Manitoba Government,Manitoba Government,1627,47
121222984568561,Amnesty International Canada,Amnesty International Canada,1086,52
106917558391358,Alliance nouvelles voies,Pathways Alliance,904,2
113297740077607,Canadian Energy Centre,Canadian Energy Centre,865,130
154462904588700,Enbridge Gas,Enbridge Gas,838,74
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,768,88
139449499417715,Pharmaprix,Pharmaprix,709,8
281999881613,World Vision Canada,World Vision Canada,676,9
103145009203143,The Next Climate Fellowship,The Next Climate Fellowship,647,28
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,607,38
117475525574,Saskatchewan New Democratic Party,the Chief Official Agent of the Saskatchewan NDP,603,20
103947395932025,mstrishaaa,mstrishaaa,601,4
107385241806,Plan International Canada,Plan International Canada,584,48
185083894875909,Pathways to Education Canada / Passeport pour ma réussite Canada,Pathways to Education Canada,567,12
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,558,41
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,541,7
1097840090260804,National Police Federation,National Police Federation,541,44
1538230646323033,SecondStreet.org,SecondStreet.org,436,2
114943114838621,Fuel Forward,Canadian Fuels Association,425,38
202220023130891,Bell Canada,Bell Canada,419,3
114849617772737,Care2 Canada,Press Pause Collective,417,13
110561408638361,Coalition of First Nations for Finfish Stewardship,Coalition of First Nations for Finfish Stewardship,367,57
27321532378,Pierre Poilievre,Conservative Party of Canada - Parti conservateur du Canada,367,1
31912359596,University of Saskatchewan,University of Saskatchewan,363,13
405377872902754,Canada Action,Canada Action,358,20
1533253713597302,Elisabeth Léger,Elisabeth Léger,347,4
127882984614,Manitoba NDP,Manitoba NDP,326,16
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,307,8
35715544220,Stand.earth,Stand.earth,307,15
222322717930469,Government of New Brunswick,Government of New Brunswick,297,1
336963316348550,Ucore Rare Metals Inc.,Ucore Rare Metals Inc.,281,1
123235041462,The Fraser Institute,Fraser Institute,271,19
26394435211,Canadian Cancer Society,Canadian Cancer Society,263,2
152467601467262,BMO Groupe financier,BMO Groupe financier,263,6
113141681850732,Keep Craft Beer Local,Ontario Craft Brewers,259,22
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,245,67
339682308115,Metis Nation of Alberta,Metis Nation of Alberta,240,16
107741980784988,Canadian Health Food Association,Canadian Health Food Association,229,13
168617319831578,Nature Canada,Nature Canada,222,2
159713615718,WWF-Canada,WWF-Canada,212,17
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,209,66
278388139026064,Patrick Brown,Patrick Brown,196,5
2112106495731697,Wild First,Canadian Coastal Research Society,194,1
108587420188,United Way Greater Toronto,United Way Greater Toronto,185,42
142580569097102,Ontario Liberal Party / Parti Libéral de l'Ontario,Ontario Liberal Party / Parti Libéral de l'Ontario,184,22
111755861837453,"Eugene Manning for PC Leader, Newfoundland and Labrador",Eugene Manning Campaign,182,45
102862259754198,MS.ThingsIsee,MS.ThingsIsee,181,4
7522587804,Green Party of Ontario,Green Party of Ontario,171,7
10633250963,Save the Children Canada,Save the Children Canada,168,26
169042736456594,All Out,ConnectAd,164,24
106360778489053,Fuelling Canada,Canadian Gas Association,162,62
183326331693112,Manitoba Federation of Labour,Manitoba Federation of Labour,161,9
100999094747422,Land Needs Guardians,Land Needs Guardians,156,4
105754167560390,Ekō Canada,Ekō,150,3
823970554364200,Ancient Forest Alliance,Ancient Forest Alliance,146,3
111445461983038,Twila Grosse - PC Candidate for Preston,Twila Grosse PC Campaign for Preston,146,2
372498358268,Manitoba NDP Caucus,Manitoba NDP Caucus,144,6
54125409458,Oxfam-Québec,Oxfam-Québec,141,6
14742445214,BC Green Party,BC Green Party,137,31
228128483994287,RBC Race for the Kids Toronto,RBC Race for the Kids Toronto,132,117
152759126824,Enbridge,Enbridge,125,2
203485052997041,Hospital Employees' Union,Hospital Employees' Union,122,12
106764462731658,Honest Reporting Canada,Honest Reporting Canada,118,7
52543970197,Environmental Defence Canada,Environmental Defence,117,11
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,115,37
186266941387011,BMO Financial Group,BMO Financial Group,115,1
256967407720183,LEO,Léger,115,20
176256900912,Saskatchewan Party,The Saskatchewan Party,114,32
261752512263,Canadian Red Cross,Canadian Red Cross,113,2
248281845216826,Bell Canada (Français),Bell Canada,113,2
214866875236330,PROMIS,Promis Immigration,110,11
903577146395715,Toronto Centre,Toronto Centre,107,4
247550302115830,Elections Saskatchewan,Elections Saskatchewan,107,2
97884715512,Canadian Museum for Human Rights,Canadian Museum for Human Rights,104,2
1589839557920915,National Disability Credit Alliance,National Disability Credit Alliance,103,1
113451888040685,KW Energy Home Services,KW Energy Home Services,101,1
200217723858499,Tony Wakeham,"Tony Wakeham, MHA for Stephenville - Port au Port",101,3
144952302745324,Nuclear Waste Management Organization,the Nuclear Waste Management Organization,≤100,3
408450975937477,"Parm Gill, MPP",MPP Parm Gill,≤100,1
102828041144081,Here For Students,Here For Students,≤100,3
219930134687790,Cenovus,Cenovus,≤100,2
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,≤100,2
80851911931,Canadian Civil Liberties Association,Canadian Civil Liberties Association,≤100,27
106613295090087,Elections Manitoba,Elections Manitoba,≤100,4
