Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
1392592317738074,Jorge Cálix,Jorge Cálix,1244,6
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,989,1
112724021787834,Por Nuestros Hijos,Con Mis Hijos No Te Metas HN,615,3
114601521910,Jorge Aldana,Jorge  Aldana,590,5
114912491193414,Secretaría de Infraestructura y Transporte,Secretaría de Infraestructura y Transporte,269,3
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),202,2
483441215141189,ASJ Honduras,Asociación para una Sociedad más Justa,185,1
110109743886071,Ana Rose,These ads ran without a disclaimer,124,1
288499014527710,Rasel Tome,Rasel Tome,≤100,1
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100,1
112731733833728,Familias: Ahora,These ads ran without a disclaimer,≤100,1
103832472242971,Municipalidad de La Masica 2022-2026,Luis Martinez,≤100,1
100904822517086,Non-trivial,These ads ran without a disclaimer,≤100,3
145521742161580,International Association for the Study of Lung Cancer,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
111283271603417,Taicang Entdecken,These ads ran without a disclaimer,≤100,2
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
101457766031847,A dos pasos del cielo,These ads ran without a disclaimer,≤100,1
