Location name,Amount spent (VEF)
Amazonas,250000
Anzoátegui,3777647
Apure,1082543
Aragua,3950153
Barinas,1782570
Bolívar (state),4000000
Capital District,10942862
Carabobo,6093660
Cojedes,750000
Delta Amacuro,250000
Falcón,2250000
Guárico,1882573
Lara,4250000
Miranda (state),4000000
Monagas,1867574
Mérida,2092582
Nueva Esparta,2562547
Portuguesa,2230087
Sucre,1685067
Trujillo,1302552
Táchira,2750000
Unknown,≤100
Vargas,1000000
Yaracuy,1750000
Zulia,7627800
