Location name,Amount spent (PYG)
Alto Paraguay Department,35725
Alto Paraná Department,3489557
Amambay Department,526273
Asunción,3396766
Boquerón department,156451
Caaguazú Department,1798900
Caazapá Department,349160
Canindeyú Department,415263
Central Department,11651429
Concepción Department (Paraguay),501288
Cordillera Department,850705
Guairá Department,447357
Itapúa Department,1573609
Misiones Department,729614
Paraguarí Department,463069
Presidente Hayes Department,596803
San Pedro Department,571084
Unknown,492
Ñeembucú Department,240179
