Location name,Amount spent (TWD)
Changhua,7821
Chiayi,2102
Hsinchu,3043
Hsinchu City,5991
Hualien,2853
Kaohsiung,23530
Keelung City,4800
Kinmen,352
Lienchiang,≤100
Miaoli,3268
Nantou,4691
New Taipei City,38972
Penghu,559
Pingtung,4341
Taichung,29571
Tainan,15365
Taipei,33981
Taitung,1571
Taoyuan City,20957
Unknown,3481
Yilan,2463
Yunlin,4131
