Location name,Amount spent (VND)
An Giang Province,54152
Bà Rịa–Vũng Tàu Province,64737
Bình Dương Province,90842
Bình Phước Province,33244
Bình Thuận Province,44136
Bình Định Province,42924
Bạc Liêu Province,16783
Bắc Giang Province,61703
Bắc Kạn Province,14012
Bắc Ninh Province,40393
Bến Tre Province,33354
Cao Bằng Province,18909
Cà Mau Province,21787
Cần Thơ,53887
Da Nang,67113
Gia Lai Province,36634
Haiphong,90539
Ho Chi Minh City,775762
Hà Giang Province,17489
Hà Nam Province,24427
Hà Tĩnh Province,48170
Hòa Bình Province,31717
Hưng Yên Province,35212
Hải Dương Province,100024
Hậu Giang Province,11088
Khánh Hòa Province,65774
Kiên Giang Province,48825
Kon Tum Province,13671
Lai Châu Province,4453
Long An Province,40559
Lào Cai Province,256138
Lâm Đồng Province,52949
Lạng Sơn Province,35986
Nam Định Province,53832
Nghệ An Province,103865
Ninh Bình Province,36543
Ninh Thuận Province,19811
Phú Thọ Province,51689
Phú Yên Province,31385
Quảng Bình Province,30538
Quảng Nam Province,47106
Quảng Ngãi Province,34800
Quảng Ninh Province,49353
Quảng Trị Province,32559
Sóc Trăng Province,77438
Sơn La Province,30913
Thanh Hóa Province,96386
Thái Bình Province,58792
Thái Nguyên Province,50319
Thừa Thiên–Huế Province,71999
Tiền Giang Province,48507
Trà Vinh Province,23962
Tuyên Quang Province,35470
Tây Ninh Province,40752
Vĩnh Long Province,28518
Vĩnh Phúc Province,28763
Yên Bái Province,25006
Điện Biên Province,12931
Đắk Lắk Province,62578
Đắk Nông Province,22778
Đồng Nai Province,167157
Đồng Tháp Province,59325
