Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,314
Apurímac Region,≤100
Arequipa Region,361
Ayacucho Region,178
Cajamarca Region,283
Callao,123
Cusco Region,313
Huancavelica Region,≤100
Huánuco Region,152
Ica Region,391
Junín Region,310
La Libertad Region,476
Lambayeque Region,369
Lima Region,2233
Loreto Region,226
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,562
Puno Region,317
San Martín Region,251
Tacna Region,108
Tumbes Region,≤100
Ucayali Region,155
Unknown,≤100
