Location name,Amount spent (JPY)
Aichi Prefecture,18687
Akita Prefecture,2220
Aomori Prefecture,2309
Chiba Prefecture,21795
Ehime Prefecture,2887
Fukui Prefecture,2683
Fukuoka Prefecture,53030
Fukushima Prefecture,3474
Gifu Prefecture,12638
Gunma Prefecture,3643
Hiroshima Prefecture,6725
Hokkaido,11834
Hyōgo Prefecture,13258
Ibaraki Prefecture,5462
Ishikawa Prefecture,3196
Iwate Prefecture,2199
Kagawa Prefecture,2769
Kagoshima Prefecture,3289
Kanagawa Prefecture,32712
Kumamoto Prefecture,9072
Kyoto Prefecture,7720
Kōchi Prefecture,1129
Mie Prefecture,3990
Miyagi Prefecture,11986
Miyazaki Prefecture,2718
Nagano Prefecture,5070
Nagasaki Prefecture,10376
Nara Prefecture,2889
Niigata Prefecture,12308
Okayama Prefecture,6004
Okinawa Prefecture,7067
Osaka Prefecture,23655
Saga Prefecture,6494
Saitama Prefecture,16081
Shiga Prefecture,3238
Shimane Prefecture,4129
Shizuoka Prefecture,6975
Tochigi Prefecture,3366
Tokushima Prefecture,1832
Tokyo,75181
Tottori Prefecture,4769
Toyama Prefecture,1940
Unknown,≤100
Wakayama Prefecture,2026
Yamagata Prefecture,2532
Yamaguchi Prefecture,3997
Yamanashi Prefecture,2096
Ōita Prefecture,7746
