Location name,Amount spent (IDR)
Aceh,1185663
Bali,2507145
Bangka–Belitung Islands,594005
Banten,3405931
Bengkulu,996538
Central Java,10079187
Central Kalimantan,1129177
Central Sulawesi,1433706
East Java,13268938
East Kalimantan,2515841
East Nusa Tenggara,1773180
Gorontalo,837367
Jakarta,7680880
Jambi,1268279
Lampung,2412849
Maluku,766791
North Kalimantan,379438
North Maluku,634274
North Sulawesi,2573486
North Sumatra,5698321
Papua (province),1178304
Riau,3002625
Riau Islands Province,1283244
South Kalimantan,1518146
South Sulawesi,3192034
South Sumatra,2958127
Southeast Sulawesi,1050148
Special Region of Yogyakarta,1586372
Unknown,597
West Java,13456606
West Kalimantan,2096798
West Nusa Tenggara,1944845
West Papua,557384
West Sulawesi,565970
West Sumatra,1795218
