Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
177072498997234,NSW Electoral Commission,NSW Electoral Commission,10633,91
119246428679,NSW Labor,NSW Labor,7417,146
682268945137255,Chris Minns,Chris Minns MP,6818,57
532962446729390,Australian Families,Department of Social Services,4210,49
104389532222332,Solutions,Solutions for Australia,3473,135
44701328033,NSW Liberal Party,"Liberal Party of Australia, NSW Division",3468,44
213476079972,Essential Workers Deserve Better,Mark Morey,3374,78
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,3158,33
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,2856,155
129209787133659,NSW Nurses and Midwives' Association,NSW Nurses and Midwives' Association,2676,31
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,2518,32
8422338499,The Wilderness Society,The Wilderness Society,2503,72
192946087555045,Insurance Council of Australia,Insurance Council Australia,2226,2
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,1842,13
24495551981,The Greens NSW,The Greens NSW,1780,64
307341981788,Australian Labor Party,Australian Labor Party,1777,2
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,1717,64
101589645013040,Thrive by Five,Thrive By Five,1518,12
106572145637277,Helen Conway for North Shore,Helen Conway,1499,13
280130718768016,Public Service Association of NSW,Public Service Association of NSW,1413,17
10113538711,WWF-Australia,WWF-Australia,1271,6
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,1104,13
492074414587353,Judith Hannan - Independent for Wollondilly & The Southern Highlands,Judith Hannan,1102,28
1776727752614025,Glencore,Glencore Australia,1075,9
234642499897373,Fire Brigade Employees' Union - FBEU,Fire Brigade Employees Union,990,6
447447719391089,Health Care Providers Association,Health Care Providers Association,969,8
494820897261439,Bank Australia,Bank Australia,932,33
105931422364976,Jacqui Scruby,Jacqui Scruby,898,23
328641501156991,United Workers Union,United Workers Union,880,2
105228161893855,Climate 200,Climate 200,847,108
92824008332,Plan International Australia,Plan International Australia,836,27
101934832754638,Joeline Hackman,Joeline Pty Ltd,805,10
76212817063,CARE Australia,CARE Australia,771,5
182564410468,Australia for UNHCR,Australia for UNHCR,717,118
101013236196328,Victoria Davidson for Lane Cove,Victoria Davidson,711,8
156271657717715,Nature NSW,Nature Conservation Council of NSW,648,82
206887666516310,Jordan Lane - For Ryde,"Liberal Party of Australia, NSW Division",619,6
102735262506370,Amanda Findley for South Coast,The Greens NSW,573,65
115906901777839,Stuart Ayres,"Liberal Party of Australia, NSW Division",544,5
171208803080734,Simon Birmingham,Simon Birmingham,541,6
1407148622837316,Empowered Communities,Empowered Communities,537,17
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,535,10
478876985509503,Anthony Roberts,"Liberal Party of Australia, NSW Division",535,3
109456968666300,Michael Regan - Independent Candidate for Wakehurst,Michael Regan,509,14
211584542832860,Nathaniel Smith MP,"Liberal Party of Australia, NSW Division",497,3
117372024582591,Katie Mullens - Liberal Candidate for Parramatta,"Liberal Party of Australia, NSW Division",470,3
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,466,12
106680295615142,Mohit Kumar - Liberal Candidate for Riverstone,"Liberal Party of Australia, NSW Division",462,3
145262132264710,Angus Taylor MP,Angus Taylor MP,460,6
110735624830301,Tim James MP,"Liberal Party of Australia, NSW Division",455,4
852683904851466,Lyndal Howison - Labor,NSW Labor,446,22
101063326158536,Kellie Sloane - Liberal Candidate for Vaucluse,"Liberal Party of Australia, NSW Division",445,4
113189828261610,Therese Fedeli - Liberal Candidate for Leppington,"Liberal Party of Australia, NSW Division",437,3
307339209323908,Dan Tehan MP,Dan Tehan MP,436,3
125812604095801,Invasive Species Council,Invasive Species Council,434,103
102123539486514,Roshena Campbell,Liberal Party of Australia,431,5
112616948322135,Luke Sikora - Liberal Candidate for South Coast,"Liberal Party of Australia, NSW Division",429,4
345960425540557,The Climate Council,The Climate Council,429,13
