Location name,Amount spent (CZK)
Central Bohemian Region,4825
Hradec Králové Region,1857
Karlovy Vary Region,1653
Liberec Region,1637
Moravian-Silesian Region,4105
Olomouc Region,2583
Pardubice Region,2787
Plzeň Region,3055
Prague,12871
South Bohemian Region,2249
South Moravian Region,5299
Unknown,≤100
Vysočina Region,1608
Zlín Region,1720
Ústí nad Labem Region,3594
