Location name,Amount spent (USD)
Alabama,10195
Alaska,2688
Arizona,26277
Arkansas,6436
California,111815
Colorado,20127
Connecticut,11996
Delaware,3417
Florida,62413
Georgia,30364
Hawaii,3211
Idaho,4377
Illinois,32851
Indiana,14941
Iowa,8081
Kansas,7383
Kentucky,9583
Louisiana,15967
Maine,8700
Maryland,25837
Massachusetts,16636
Michigan,32309
Minnesota,16541
Mississippi,7452
Missouri,12965
Montana,9922
Nebraska,3777
Nevada,14979
New Hampshire,5213
New Jersey,31962
New Mexico,5403
New York,67433
North Carolina,32748
North Dakota,1483
Ohio,34575
Oklahoma,10162
Oregon,13202
Pennsylvania,47914
Puerto Rico,≤100
Rhode Island,3696
South Carolina,14800
South Dakota,1877
Tennessee,17320
Texas,118295
Unknown,125
Utah,7302
Vermont,1502
Virgin Islands (U.S.),≤100
Virginia,35464
Washington,19254
"Washington, District of Columbia",10045
West Virginia,9258
Wisconsin,22361
Wyoming,1489
