Location name,Amount spent (JPY)
Aichi Prefecture,46234
Akita Prefecture,9782
Aomori Prefecture,2319
Chiba Prefecture,45139
Ehime Prefecture,3743
Fukui Prefecture,1291
Fukuoka Prefecture,90647
Fukushima Prefecture,2316
Gifu Prefecture,4631
Gunma Prefecture,9543
Hiroshima Prefecture,4527
Hokkaido,14368
Hyōgo Prefecture,38183
Ibaraki Prefecture,6978
Ishikawa Prefecture,4910
Iwate Prefecture,1807
Kagawa Prefecture,4909
Kagoshima Prefecture,1790
Kanagawa Prefecture,89823
Kumamoto Prefecture,7263
Kyoto Prefecture,19796
Kōchi Prefecture,1904
Mie Prefecture,5044
Miyagi Prefecture,15187
Miyazaki Prefecture,4655
Nagano Prefecture,5558
Nagasaki Prefecture,11077
Nara Prefecture,5734
Niigata Prefecture,6674
Okayama Prefecture,3240
Okinawa Prefecture,6000
Osaka Prefecture,72308
Saga Prefecture,7770
Saitama Prefecture,51794
Shiga Prefecture,5904
Shimane Prefecture,1898
Shizuoka Prefecture,22017
Tochigi Prefecture,8119
Tokushima Prefecture,2533
Tokyo,337675
Tottori Prefecture,1545
Toyama Prefecture,2645
Unknown,≤100
Wakayama Prefecture,4777
Yamagata Prefecture,3595
Yamaguchi Prefecture,3105
Yamanashi Prefecture,2143
Ōita Prefecture,14404
