Location name,Amount spent (HNL)
Atlántida Department,294
Bay Islands Department,≤100
Choluteca Department,≤100
Colón Department,111
Comayagua Department,102
Copán Department,≤100
Cortés Department,2418
El Paraíso Department,≤100
Francisco Morazán Department,4443
Gracias a Dios Department,≤100
Intibucá Department,≤100
La Paz Department,≤100
Lempira Department,≤100
Ocotepeque Department,≤100
Olancho Department,≤100
Santa Bárbara Department,135
Unknown,≤100
Valle Department,≤100
Yoro Department,477
