Location name,Amount spent (CLP)
Antofagasta Region,147691
Araucanía Region,224086
Arica y Parinacota Region,501050
Atacama Region,62041
Aysén Region,520343
Bío Bío Region,427277
Coquimbo Region,195071
Los Lagos Region,188608
Los Ríos Region,88818
Magallanes y la Antártica Chilena Region,55179
Maule Region,207304
O'Higgins Region,174838
Santiago Metropolitan Region,2537380
Tarapacá Region,81947
Unknown,2068
Valparaíso Region,488104
