Location name,Amount spent (THB)
Amnat Charoen,177
Ang Thong,154
Ayutthaya,617
Bangkok,42336
Bueng Kan,256
Buriram,565
Chachoengsao,1304
Chai Nat,138
Chaiyaphum,1077
Chanthaburi,2488
Chiang Mai,3392
Chiang Rai,2375
Chon Buri,11868
Chumphon,1042
Kalasin,503
Kamphaeng Phet,976
Kanchanaburi,562
Khon Kaen,3152
Krabi,485
Lampang,908
Lamphun,480
Loei,279
Lop Buri,360
Mae Hong Son,276
Maha Sarakham,502
Mukdahan,395
Nakhon Nayok,208
Nakhon Pathom,2483
Nakhon Phanom,3752
Nakhon Ratchasima,2842
Nakhon Sawan,736
Nakhon Si Thammarat,4091
Nan,412
Narathiwat,282
Nong Bua Lam Phu,210
Nong Khai,243
Nonthaburi,1528
Pathum Thani,2393
Pattani,1838
Phangnga,341
Phatthalung,1056
Phayao,498
Phetchabun,318
Phetchaburi,531
Phichit,601
Phitsanulok,3726
Phrae,212
Phuket,2189
Prachin Buri,2067
Prachuap Khiri Khan,525
Ranong,269
Ratchaburi,735
Rayong,623
Roi Et,560
Sa Kaeo,4331
Sakon Nakhon,1503
Samut Prakan,2387
Samut Sakhon,3653
Samut Songkhram,1133
Saraburi,603
Satun,212
Sing Buri,≤100
Sisaket,512
Songkhla,2278
Sukhothai,403
Suphan Buri,461
Surat Thani,11336
Surin,607
Tak,249
Trang,1571
Trat,877
Ubon Ratchathani,875
Udon Thani,1043
Unknown,≤100
Uthai Thani,121
Uttaradit,223
Yala Province,318
Yasothon,534
