Location name,Amount spent (COP)
Amazonas,1173
Antioquia,6423153
Arauca,22421
Atlantico,960030
Bolivar,219139
Boyaca,373301
Caldas,284494
Caqueta,127744
Casanare,99850
Cauca,225650
Cesar,252321
Choco,26418
Cordoba,368623
Cundinamarca,413137
Distrito Especial,2550641
Guainia,11041
Guaviare,8957
Huila,548948
La Guajira,64337
Magdalena,577202
Meta,349497
Narino,97632
Norte de Santander,531937
Putumayo,99977
Quindio,126723
Risaralda,630088
San Andres y Providencia,7223
Santander,1005885
Sucre,153159
Tolima,367816
Unknown,281
Valle del Cauca,2658853
Vaupes,367
Vichada,971
