Location name,Amount spent (CAD)
Alberta,13749
British Columbia,12081
Manitoba,1610
New Brunswick,1855
Newfoundland and Labrador,592
Northwest Territories,≤100
Nova Scotia,1681
Nunavut,≤100
Ontario,26698
Prince Edward Island,224
Quebec,13268
Saskatchewan,1810
Unknown,≤100
Yukon,118
