Location name,Amount spent (EUR)
Alsace,413
Aquitaine,851
Auvergne,249
Basse-Normandie,275
Bourgogne,354
Bretagne,704
Centre,496
Champagne-Ardenne,278
Corse,103
Franche-Comté,213
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,419
Languedoc-Roussillon,722
Limousin,136
Lorraine,450
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,648
New Caledonia,≤100
Nord-Pas-de-Calais,823
Pays de la Loire,689
Picardie,384
Poitou-Charentes,386
Provence-Alpes-Côte d'Azur,1497
Reunion Island,≤100
Rhône-Alpes,1503
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2843
