Location name,Amount spent (VEF)
Amazonas,311
Anzoátegui,16374
Apure,2672
Aragua,355687
Barinas,75311
Bolívar (state),16374
Capital District,5661344
Carabobo,299821
Cojedes,2750311
Delta Amacuro,≤100
Falcón,19625
Guárico,4960
Lara,15442
Miranda (state),367942
Monagas,28524
Mérida,99988
Nueva Esparta,621
Portuguesa,38121
Sucre,25630
Trujillo,18420
Táchira,266064
Unknown,≤100
Vargas,932
Yaracuy,1554
Zulia,229496
