Location name,Amount spent (PKR)
Azad Kashmir,870
Balochistan,955
Federally Administered Tribal Areas,209
Gilgit-Baltistan,449
Islamabad Capital Territory,12109
Khyber Pakhtunkhwa,5841
Punjab,27758
Sindh,9387
Unknown,≤100
