Location name,Amount spent (USD)
Alabama,11782
Alaska,3008
American Samoa,≤100
Arizona,28063
Arkansas,8207
California,125085
Colorado,25909
Connecticut,12279
Delaware,4864
Florida,84575
Georgia,28533
Guam,≤100
Hawaii,3708
Idaho,6433
Illinois,50032
Indiana,29569
Iowa,11166
Kansas,8809
Kentucky,14917
Louisiana,16186
Maine,7626
Maryland,32455
Massachusetts,23789
Michigan,34893
Minnesota,26687
Mississippi,7568
Missouri,21107
Montana,5770
Nebraska,6100
Nevada,12346
New Hampshire,8529
New Jersey,42376
New Mexico,5683
New York,74159
North Carolina,36401
North Dakota,1559
Northern Mariana Islands,≤100
Ohio,49882
Oklahoma,13310
Oregon,16845
Pennsylvania,77088
Puerto Rico,≤100
Rhode Island,3034
South Carolina,16658
South Dakota,1974
Tennessee,23751
Texas,151622
Unknown,297
Utah,8114
Vermont,3582
Virgin Islands (U.S.),≤100
Virginia,36470
Washington,26551
"Washington, District of Columbia",14917
West Virginia,9972
Wisconsin,23711
Wyoming,1547
