Location name,Amount spent (HUF)
Baranya County,65587
Borsod-Abaúj-Zemplén County,109282
Budapest,477389
Bács-Kiskun County,83638
Békés County,56744
Csongrád County,94400
Fejér County,80395
Győr-Moson-Sopron County,82550
Hajdú-Bihar County,96401
Heves County,55919
Jász-Nagykun-Szolnok County,73541
Komárom-Esztergom County,56688
Nógrád County,29534
Pest County,201855
Somogy County,50574
Szabolcs-Szatmár-Bereg County,92668
Tolna County,37510
Unknown,≤100
Vas County,50181
Veszprém County,62269
Zala County,49702
