Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,135
Apurímac Region,≤100
Arequipa Region,125
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,≤100
Cusco Region,331
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,126
La Libertad Region,167
Lambayeque Region,110
Lima Region,1258
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,239
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
