Location name,Amount spent (CAD)
Alberta,6310
British Columbia,8910
Manitoba,6035
New Brunswick,1556
Newfoundland and Labrador,1207
Northwest Territories,181
Nova Scotia,1750
Nunavut,157
Ontario,26471
Prince Edward Island,274
Quebec,12963
Saskatchewan,1960
Unknown,≤100
Yukon,157
