Location name,Amount spent (COP)
Amazonas,2154
Antioquia,8806119
Arauca,19578
Atlantico,914255
Bolivar,143362
Boyaca,394296
Caldas,190227
Caqueta,91955
Casanare,34610
Cauca,409465
Cesar,685474
Choco,28903
Cordoba,355228
Cundinamarca,349868
Distrito Especial,3515249
Guainia,4278
Guaviare,55401
Huila,670583
La Guajira,35169
Magdalena,309520
Meta,193842
Narino,106237
Norte de Santander,288692
Putumayo,126936
Quindio,71519
Risaralda,475686
San Andres y Providencia,5408
Santander,1918437
Sucre,452619
Tolima,308310
Unknown,489
Valle del Cauca,4446765
Vaupes,522
Vichada,1041
