Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
107313071722125,alugueisimoveishotmailcom,These ads ran without a disclaimer,1673,2
107801918890922,Masfamu Angola,Masfamu Angola,1462,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,558,2
114950684872253,C301-27,These ads ran without a disclaimer,≤100,2
155438574470276,DW українською,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
230834147675510,LabXchange,These ads ran without a disclaimer,≤100,1
114927444840026,C301-19,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
100966486285059,C301-18,These ads ran without a disclaimer,≤100,2
