Location name,Amount spent (USD)
Alabama,12375
Alaska,2780
American Samoa,≤100
Arizona,29220
Arkansas,8006
California,111397
Colorado,20098
Connecticut,8552
Delaware,3545
Florida,66249
Georgia,32518
Guam,≤100
Hawaii,3515
Idaho,5955
Illinois,33289
Indiana,19045
Iowa,10136
Kansas,9361
Kentucky,15481
Louisiana,18435
Maine,7479
Maryland,20684
Massachusetts,18461
Michigan,36110
Minnesota,14869
Mississippi,8280
Missouri,22480
Montana,5540
Nebraska,5925
Nevada,12562
New Hampshire,7911
New Jersey,28106
New Mexico,6160
New York,76373
North Carolina,62795
North Dakota,1598
Northern Mariana Islands,≤100
Ohio,42173
Oklahoma,10789
Oregon,14299
Pennsylvania,47957
Puerto Rico,≤100
Rhode Island,3692
South Carolina,25688
South Dakota,1970
Tennessee,21379
Texas,91519
Unknown,142
Utah,9992
Vermont,2534
Virgin Islands (U.S.),≤100
Virginia,68739
Washington,22803
"Washington, District of Columbia",9497
West Virginia,6755
Wisconsin,20832
Wyoming,1671
