Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
176104589110851,IEEE,These ads ran without a disclaimer,13016,1
2010410822318073,Tvcnewsng,Tvcnewsng,11518,7
112089847988133,Litefinance Nigeria,These ads ran without a disclaimer,9188,1
986384794781764,I Stand With Nigeria 4 Tinubu,I Stand With Nigeria 4 Tinubu,8103,1
297904423657616,The ICIR,The ICIR,7641,3
103018869332378,BantuPage,BantuPage,5370,7
913242715449176,Prophet Ekong Ituen Ministries,Prophet Ekong Ituen Ministries,5192,2
105793102575230,Prince Egbe Humphrey Omorodion,Prince Egbe Humphrey Omorodion Campaign Team,2636,2
100202924924063,Page 36,Page 36,1906,8
2187534804660654,Delta State Contributory Health Commission - DSCHC,Delta State Contributory Health Commission,1747,2
547389282097592,Askshoehorn Backup,These ads ran without a disclaimer,1625,1
107868989007138,The Matrix News,Pan Matrix,1568,2
112894051595962,Hon. Kama Nkemkanma,Hon. Kama Nkemkanma,1452,2
112015191108359,Inside Port Harcourt,Inside Port Harcourt,1170,4
869639890052073,,Take Back Imo,1150,2
1089641091059109,Hon. Kelechi Nwogu,Hon. Kelechi Nwogu,1096,1
104391618995614,Nwachukwu Anthony Anakwenze,Nwachukwu Anthony Anakwenze,1056,1
111810962838210,WAFFI TV,WAFFI TV,1045,2
101340119441553,Geo Page,Geo Page,1043,1
101526161771364,Anambra State New Media,Anambra State New Media,1029,1
103696798885313,Hon Onidare Sunday Bukunmi,Hon Onidare Sunday Bukunmi,1016,1
555746311110451,TVCconnect,TVCconnect,983,1
1390713551202798,Throneworship,These ads ran without a disclaimer,949,1
843383635685233,Delwit Engineering Ltd,These ads ran without a disclaimer,840,1
107813385474591,Realwan Okpanachi,These ads ran without a disclaimer,822,1
128728490537179,Senator Asuquo Ekpenyong,Senator Asuquo Ekpenyong,741,1
1813961455356524,Sen. Lawrence Ewhrudjakpo,Sen. Lawrence Ewhrudjakpo,701,1
109225188534168,Northwest-Northeast Concern Youth Movement for Tinubu/Kashim.,Northwest-Northeast Concern Youth Movement for Tinubu/Kashim.,620,1
1598205703573433,Senator Uba Sani,Uba Sani Media,537,1
111886761834763,Amel page,Amel page,520,1
119723736100630,Ala - Delight Publicity Services,Ala - Delight Publicity Services,513,1
102810799378272,Joe Ikenwe,These ads ran without a disclaimer,436,1
450326391674911,Allianz,These ads ran without a disclaimer,413,1
109353154135430,E.N. Publishing,These ads ran without a disclaimer,184,1
150791222268247,,These ads ran without a disclaimer,176,1
108950188959834,,These ads ran without a disclaimer,166,1
116633395153475,Julio César Live,These ads ran without a disclaimer,161,1
104897298107903,Hawee Emporium Rice ng,These ads ran without a disclaimer,126,1
102785402910065,,These ads ran without a disclaimer,≤100,1
102407559822494,Training Centre in Communication (TCC Africa),These ads ran without a disclaimer,≤100,1
111068872040824,Super Quiz,These ads ran without a disclaimer,≤100,2
102449926239162,legitboosters_online,These ads ran without a disclaimer,≤100,1
106950715510480,Luciana Ponce,These ads ran without a disclaimer,≤100,1
112230245122615,Big Global Travel Media,These ads ran without a disclaimer,≤100,1
1027626217435226,Richouses,These ads ran without a disclaimer,≤100,1
102441338860194,Anatomy of Night,These ads ran without a disclaimer,≤100,1
110822558440660,Brackish Babe,These ads ran without a disclaimer,≤100,1
