Location name,Amount spent (VND)
An Giang Province,34744
Bà Rịa–Vũng Tàu Province,50021
Bình Dương Province,107376
Bình Phước Province,27726
Bình Thuận Province,39901
Bình Định Province,24055
Bạc Liêu Province,13132
Bắc Giang Province,122589
Bắc Kạn Province,11967
Bắc Ninh Province,53539
Bến Tre Province,31712
Cao Bằng Province,26144
Cà Mau Province,31793
Cần Thơ,40904
Da Nang,144254
Gia Lai Province,83925
Haiphong,150462
Ho Chi Minh City,954362
Hà Giang Province,21740
Hà Nam Province,12996
Hà Tĩnh Province,132661
Hòa Bình Province,30294
Hưng Yên Province,28179
Hải Dương Province,97376
Hậu Giang Province,6072
Khánh Hòa Province,46839
Kiên Giang Province,50349
Kon Tum Province,37202
Lai Châu Province,9226
Long An Province,65592
Lào Cai Province,19421
Lâm Đồng Province,53205
Lạng Sơn Province,32656
Nam Định Province,31263
Nghệ An Province,157553
Ninh Bình Province,37678
Ninh Thuận Province,11069
Phú Thọ Province,74351
Phú Yên Province,61092
Quảng Bình Province,56296
Quảng Nam Province,31930
Quảng Ngãi Province,44798
Quảng Ninh Province,67661
Quảng Trị Province,20987
Sóc Trăng Province,27830
Sơn La Province,22138
Thanh Hóa Province,120044
Thái Bình Province,69478
Thái Nguyên Province,102609
Thừa Thiên–Huế Province,69869
Tiền Giang Province,66585
Trà Vinh Province,15864
Tuyên Quang Province,42086
Tây Ninh Province,185897
Vĩnh Long Province,42916
Vĩnh Phúc Province,77872
Yên Bái Province,42328
Điện Biên Province,32507
Đắk Lắk Province,135552
Đắk Nông Province,35400
Đồng Nai Province,183446
Đồng Tháp Province,39562
