Location name,Amount spent (EGP)
Al Sharqia Governorate,1593
Alexandria Governorate,765
Aswan Governorate,123
Asyut Governorate,280
Beheira Governorate,403
Beni Suef Governorate,225
Cairo Governorate,3694
Dakahlia Governorate,677
Damietta Governorate,317
Faiyum Governorate,199
Gharbia Governorate,506
Giza Governorate,1545
Ismailia Governorate,653
Kafr el-Sheikh Governorate,311
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,345
Monufia Governorate,563
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,119
Qalyubia Governorate,868
Qena Governorate,216
Red Sea Governorate,≤100
Sohag Governorate,323
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
