Location name,Amount spent (INR)
Andaman and Nicobar Islands,1197
Andhra Pradesh,23164
Arunachal Pradesh,3612
Assam,17339
Bihar,35037
Chandigarh,1856
Chhattisgarh,12735
Dadra and Nagar Haveli,677
Delhi,36679
Goa,4666
Gujarat,49264
Haryana,36193
Himachal Pradesh,12349
Jammu and Kashmir,10282
Jharkhand,12781
Karnataka,118510
Kerala,14287
Lakshadweep,≤100
Madhya Pradesh,59017
Maharashtra,127792
Manipur,3325
Meghalaya,1757
Mizoram,332
Nagaland,2031
Odisha,12063
Puducherry,809
Punjab region,28176
Rajasthan,113913
Sikkim,488
Tamil Nadu,62858
Telangana,52490
Tripura,2145
Unknown,≤100
Uttar Pradesh,89687
Uttarakhand,10235
West Bengal,37470
