Location name,Amount spent (AUD)
Australian Capital Territory,1771
Jervis Bay Territory,≤100
New South Wales,24753
Norfolk Island,≤100
Northern Territory,795
Queensland,17233
South Australia,7245
Tasmania,2639
Unknown,≤100
Victoria,22801
Western Australia,8917
