Location name,Amount spent (USD)
Azuay Province,533
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,101
Cotopaxi Province,≤100
El Oro Province,747
Esmeraldas Province,273
Galápagos Province,≤100
Guayas Province,1902
Imbabura Province,159
Loja Province,162
Los Ríos Province,500
Manabí Province,872
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1498
Santa Elena Province,149
Santo Domingo de los Tsáchilas Province,959
Sucumbíos Province,≤100
Tungurahua Province,161
Unknown,≤100
Zamora-Chinchipe Province,102
