Location name,Amount spent (PYG)
Alto Paraguay Department,6345
Alto Paraná Department,48711
Amambay Department,978
Asunción,113396
Boquerón department,7587
Caaguazú Department,20323
Caazapá Department,1175
Canindeyú Department,8671
Central Department,308515
Concepción Department (Paraguay),16820
Cordillera Department,15565
Guairá Department,7380
Itapúa Department,17613
Misiones Department,1920
Paraguarí Department,9351
Presidente Hayes Department,8256
San Pedro Department,9789
Unknown,≤100
Ñeembucú Department,30369
