Location name,Amount spent (ISK)
Capital Region,36480
Eastern Region,1579
Northeastern Region,4123
Northwestern Region,913
Southern Peninsula,3688
Southern Region,4146
Unknown,≤100
Western Region,904
Westfjords,950
