Location name,Amount spent (VND)
An Giang Province,32853
Bà Rịa–Vũng Tàu Province,48790
Bình Dương Province,268976
Bình Phước Province,6979
Bình Thuận Province,33231
Bình Định Province,136985
Bạc Liêu Province,18437
Bắc Giang Province,53722
Bắc Kạn Province,1559
Bắc Ninh Province,52587
Bến Tre Province,30068
Cao Bằng Province,62728
Cà Mau Province,4565
Cần Thơ,32189
Da Nang,212754
Gia Lai Province,11047
Haiphong,208860
Ho Chi Minh City,1601300
Hà Giang Province,1416
Hà Nam Province,22911
Hà Tĩnh Province,56121
Hòa Bình Province,10219
Hưng Yên Province,31050
Hải Dương Province,81952
Hậu Giang Province,1079
Khánh Hòa Province,36170
Kiên Giang Province,31025
Kon Tum Province,7717
Lai Châu Province,678
Long An Province,22512
Lào Cai Province,24057
Lâm Đồng Province,34952
Lạng Sơn Province,26056
Nam Định Province,30113
Nghệ An Province,323329
Ninh Bình Province,25199
Ninh Thuận Province,4633
Phú Thọ Province,28067
Phú Yên Province,32468
Quảng Bình Province,31014
Quảng Nam Province,36198
Quảng Ngãi Province,34792
Quảng Ninh Province,97059
Quảng Trị Province,10630
Sóc Trăng Province,27062
Sơn La Province,26542
Thanh Hóa Province,112797
Thái Bình Province,32302
Thái Nguyên Province,53153
Thừa Thiên–Huế Province,40158
Tiền Giang Province,33029
Trà Vinh Province,2223
Tuyên Quang Province,14065
Tây Ninh Province,18111
Unknown,163
Vĩnh Long Province,14102
Vĩnh Phúc Province,53734
Yên Bái Province,28415
Điện Biên Province,2295
Đắk Lắk Province,35895
Đắk Nông Province,3756
Đồng Nai Province,119825
Đồng Tháp Province,28374
